SACC,Country/Region,SACC_Major_group,Region
1,OCEANIA AND ANTARCTICA,OCEANIA AND ANTARCTICA,
11,Australia,OCEANIA AND ANTARCTICA,East Asia & Pacific
1101,Australia,OCEANIA AND ANTARCTICA,East Asia & Pacific
1102,Norfolk Island,OCEANIA AND ANTARCTICA,East Asia & Pacific
1199,Australia,OCEANIA AND ANTARCTICA,East Asia & Pacific
12,New Zealand,OCEANIA AND ANTARCTICA,East Asia & Pacific
1201,New Zealand,OCEANIA AND ANTARCTICA,East Asia & Pacific
13,Melanesia,OCEANIA AND ANTARCTICA,
1301,New Caledonia,OCEANIA AND ANTARCTICA,East Asia & Pacific
1302,Papua New Guinea,OCEANIA AND ANTARCTICA,East Asia & Pacific
1303,Solomon Islands,OCEANIA AND ANTARCTICA,East Asia & Pacific
1304,Vanuatu,OCEANIA AND ANTARCTICA,East Asia & Pacific
14,Micronesia,OCEANIA AND ANTARCTICA,
1401,Guam,OCEANIA AND ANTARCTICA,East Asia & Pacific
1402,Kiribati,OCEANIA AND ANTARCTICA,East Asia & Pacific
1403,Marshall Islands,OCEANIA AND ANTARCTICA,East Asia & Pacific
1404,"Micronesia, Federated States of",OCEANIA AND ANTARCTICA,
1405,Nauru,OCEANIA AND ANTARCTICA,East Asia & Pacific
1406,Northern Mariana Islands,OCEANIA AND ANTARCTICA,East Asia & Pacific
1407,Palau,OCEANIA AND ANTARCTICA,East Asia & Pacific
15,Polynesia (excludes Hawaii),OCEANIA AND ANTARCTICA,
1501,Cook Islands,OCEANIA AND ANTARCTICA,East Asia & Pacific
1502,Fiji,OCEANIA AND ANTARCTICA,East Asia & Pacific
1503,French Polynesia,OCEANIA AND ANTARCTICA,East Asia & Pacific
1504,Niue,OCEANIA AND ANTARCTICA,East Asia & Pacific
1505,Samoa,OCEANIA AND ANTARCTICA,East Asia & Pacific
1506,"Samoa, American",OCEANIA AND ANTARCTICA,East Asia & Pacific
1507,Tokelau,OCEANIA AND ANTARCTICA,
1508,Tonga,OCEANIA AND ANTARCTICA,East Asia & Pacific
1511,Tuvalu,OCEANIA AND ANTARCTICA,East Asia & Pacific
1512,Wallis and Futuna,OCEANIA AND ANTARCTICA,
1513,Pitcairn Islands,OCEANIA AND ANTARCTICA,
1599,"Polynesia (excludes Hawaii), nec",OCEANIA AND ANTARCTICA,East Asia & Pacific
16,Antarctica,OCEANIA AND ANTARCTICA,
1601,Adelie Land (France),OCEANIA AND ANTARCTICA,
1602,Argentinian Antarctic Territory,OCEANIA AND ANTARCTICA,
1603,Australian Antarctic Territory,OCEANIA AND ANTARCTICA,
1604,British Antarctic Territory,OCEANIA AND ANTARCTICA,
1605,Chilean Antarctic Territory,OCEANIA AND ANTARCTICA,
1606,Queen Maud Land (Norway),OCEANIA AND ANTARCTICA,
1607,Ross Dependency (New Zealand),OCEANIA AND ANTARCTICA,
2,NORTH-WEST EUROPE,NORTH-WEST EUROPE,Europe & Central Asia
21," United Kingdom, Channel Islands and Isle of Man",NORTH-WEST EUROPE,
2102,England,NORTH-WEST EUROPE,Europe & Central Asia
2103,Isle of Man,NORTH-WEST EUROPE,Europe & Central Asia
2104,Northern Ireland,NORTH-WEST EUROPE,Europe & Central Asia
2105,Scotland,NORTH-WEST EUROPE,Europe & Central Asia
2106,Wales,NORTH-WEST EUROPE,Europe & Central Asia
2107,Guernsey,NORTH-WEST EUROPE,Europe & Central Asia
2108,Jersey,NORTH-WEST EUROPE,Europe & Central Asia
22,Ireland,NORTH-WEST EUROPE,Europe & Central Asia
2201,Ireland,NORTH-WEST EUROPE,Europe & Central Asia
23,Western Europe,NORTH-WEST EUROPE,Europe & Central Asia
2301,Austria,NORTH-WEST EUROPE,Europe & Central Asia
2302,Belgium,NORTH-WEST EUROPE,Europe & Central Asia
2303,France,NORTH-WEST EUROPE,Europe & Central Asia
2304,Germany,NORTH-WEST EUROPE,Europe & Central Asia
2305,Liechtenstein,NORTH-WEST EUROPE,Europe & Central Asia
2306,Luxembourg,NORTH-WEST EUROPE,Europe & Central Asia
2307,Monaco,NORTH-WEST EUROPE,Europe & Central Asia
2308,Netherlands,NORTH-WEST EUROPE,Europe & Central Asia
2311,Switzerland,NORTH-WEST EUROPE,Europe & Central Asia
24,Northern Europe,NORTH-WEST EUROPE,Europe & Central Asia
2401,Denmark,NORTH-WEST EUROPE,Europe & Central Asia
2402,Faroe Islands,NORTH-WEST EUROPE,Europe & Central Asia
2403,Finland,NORTH-WEST EUROPE,Europe & Central Asia
2404,Greenland,NORTH-WEST EUROPE,Europe & Central Asia
2405,Iceland,NORTH-WEST EUROPE,Europe & Central Asia
2406,Norway,NORTH-WEST EUROPE,Europe & Central Asia
2407,Sweden,NORTH-WEST EUROPE,Europe & Central Asia
